Address,General_Plan_Designation,Latitude,Longitude,,,
750 Harrison,,37.7817726,-122.3985996,,,
1452 Broadway,,37.7963395,-122.4210868,,,
390 First Street,,37.7864342149619,-122.39354207939,,,
1740-1770 Market,,37.7725442,-122.423102,,,
1335-1339 Folsom,,37.7731844,-122.4119161,,,
1515 South Van Ness,,37.748902,-122.4154616,,,
1699 Market Street,,37.7722359,-122.4218785,,,
50 1st Street,,37.7902643438303,-122.398349177919,,,
1050 Valencia,,37.755944,-122.4213177,,,
2435-2445 16th Street,,37.7654227,-122.411069,,,
540-522 De Haro,,37.7629070756014,-122.401732115539,,,
2100 Market,,37.7675094,-122.429432,,,
651 Geary St,,37.7863442,-122.4139555,,,
1301 16th Street,,37.7658451,-122.4002394,,,
915 Minna,,37.7742334,-122.4158058,,,
469 Eddy St,,37.7833039,-122.4153187,,,
1394 Harrison,,37.7719064,-122.4112983,,,
2224 Clement,,37.7823346,-122.4834173,,,
502 7th Street,,37.7741794878893,-122.404765195659,,,
770 Powell St,,37.7917834,-122.4089148,,,
1436 Polk St,,37.7902656,-122.4202994,,,
815-825 Tennessee,,37.7613591,-122.3893682,,,
1601 Mission,,37.7720407,-122.4187632,,,
22-24 Franklin,,37.7747236,-122.4206842,,,
3620 Cesar Chavez,,37.7483229,-122.4219108,,,
430 Eddy St,,37.7839398,-122.4148351,,,
1598 Bay St,,37.8033707,-122.4330516,,,
311 Grove,,37.7777008,-122.4220081,,,
"2293-2299 Powell 
309-311 Bay",,37.8056426,-122.4120845,,,
1066 Market,,37.781799,-122.4117416,,,
988 Harrison,,37.7776615,-122.4041718,,,
655 Folsom,,37.7843741,-122.3977742,,,
88 Arkansas,,37.7653561,-122.3990477,,,
475 Minna St,,37.7809225,-122.407392,,,
950 Gough,,37.782212,-122.4238826,,,
2238-2254 Market,,37.7654475,-122.4320751,,,
1198 Valencia,,37.7538003,-122.420985,,,
777 Tennessee,,37.7620268,-122.3893245,,,
616 Divisadero,,37.7753286,-122.4374463,,,
1174-1178 Folsom,,37.7757141,-122.4097432,,,
"240-290 Pacific
720 Battery",,37.7978697,-122.4004515,,,
2177 3rd St,,37.7620737779874,-122.388485725246,,,
1805 Buchannan,,37.78652877653,-122.430075908757,,,
1075 Market,,37.7806442,-122.4116152,,,
75 Howard St,,37.7916564,-122.3918016,,,
363 6th St,,37.7777430971078,-122.404515502553,,,
800 Indiana,,37.7591964,-122.391729,,,
525 Harrison,,37.7853672,-122.3933593,,,
600 South Van Ness,,37.763422,-122.4175096,,,
1546-1564 Market,,37.7748893,-122.4200808,,,
"19-25 Mason
2-16 Turk",,37.7837501,-122.4094942,,,
1700 Market,,37.7729534,-122.4224471,,,
2146-2148 Third,,37.7624394774958,-122.388855488043,,,
241 10th St.,,37.7736499,-122.4134372,,,
1532 Howard,,37.7728176,-122.4162843,,,
101 Hyde ,,37.7818037,-122.4158965,,,
901 Tennessee,,37.7602272,-122.3891538,,,
599 Crestmont Dr,,37.7586736,-122.4615626,,,
131 Missouri,,37.7646511,-122.396535,,,
"150 Van Ness
155 Hayes
101 Hayes
131-135 Hayes
125 Hayes",,37.777074,-122.4193649,,,
1140 Folsom,,37.7760815,-122.408912,,,
1450 15th Street,,37.7670916,-122.4168334,,,
690 Market Street,,37.7881982,-122.4033087,,,
490 South Van Ness,,37.7654799,-122.4178239,,,
520 9th Street,,37.770964052494,-122.4082709375,,,
259 Clara,,37.778398,-122.4035904,,,
1785 15th Street,,37.7662063,-122.4238062,,,
270 Brighton Ave,,37.7231398,-122.454972,,,
645 Texas,,37.7581214,-122.3948937,,,
3420 18th Street,,37.7619173,-122.4199854,,,
346 Potrero,,37.765139598617,-122.407816459305,,,
923 Folsom,,37.7796157,-122.4039628,,,
325 Fremont,,37.7877714,-122.3929466,,,
580-582 Hayes,,37.7766454,-122.4259314,,,
119 7th Street,,37.7787535693573,-122.410217003829,,,
"2051-2065 Third
650 Illinois",,37.7636851054404,-122.38859420776,,,
1634-1690 Pine,,37.789592975867,-122.422950809309,,,
2198 Market,,37.7662889,-122.4308725,,,
233-237 Shipley ,,37.7791665,-122.4035048,,,
3032-3038 Clement,,37.78188,-122.492004,,,
1201-1225 Tennessee,,37.755928,-122.388603,,,
650 Indiana,,37.7622105359667,-122.391687455253,,,
"801 Brannan, 1 Henry Adams",,37.7718239,-122.4038826,,,
502 8th Ave,Centre City Planned District Employment/ Residential Mixed-Use,32.7104614089706,-117.157475297049,,,
corner of Del Mar Heights Road between EI Camino Real and High BluffDrive,Employment Center,32.952264,-117.236294,,,
5030 College Avenue,High Density Residential,32.7692209640405,-117.069085652742,,,
